SMILES,TARGET_Donor Number
CS(=O)C,29.8
CN(C)C(=O)N(C)C,29.6
CN1CCCC1=O,27.3
CNC=O,27
CN(C)C=O,26.6
C(=O)N,24
C(CO)O,20
C1CC(=O)OC1,18
COC(=O)OC,17.2
CCOC(=O)OCC,16
C1=CC=C(C=C1)C#N,11.9
CC#N,14.1
C1CCOC1,20
COCCOC,20
CCOCC,19.2
C1COCCO1 ,14.3
CCOC(=O)C ,17.1
CC(=O)OC,16.5
CCC(=O)OC,11
CN1CCN(C1=O)C,27.7
CC(=O)N(C)C,27.8
C1CCS(=O)(=O)C1,14.8
C1COS(=O)O1,15.3
C1COC(=O)O1,16.4
C1COCO1  ,21.2
CN1CCCCCC1=O ,27.1
CC(C)C(=O)C(C)C ,16.2
CCC(=O)C,17.4
CC(C)C#N,15.4
CCCC(=O)C,17.5
C1=CC=C(C=C1)CC#N,15.1
CC(=O)C ,17
CC(=O)C(C)(C)C  ,17
 CC(C)C(=O)C,17.1
CCC(=O)CC,15
CC1COC(=O)O1,15.1
CC(=O)C1=CC=CC=C1,15
C1=CC=C(C=C1)C=O,16
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,16
CCCC#N ,16.6
 C1CCC(=O)CC1,18
C1CCC(=O)C1,18
CCCCOCCCC ,19
CC(C)OC(C)C,19
CCCOCCC,18
CCOC(=O)C1=CC=CC=C1,15
CCOC=O ,17
 COC(=O)C1=CC=CC=C1,15
CN(C)C1=CC=CC=C1,27
CN(C)C(=O)Cl,17.2
CN(C)C(=O)C(F)(F)F,16.6
CCOC(=O)N(C)C  ,22.4
C1CCOCC1,22
CCC#N,16.1
COP(=O)(OC)OC ,23
 CCN(CC)C(=O)C ,"	32.2"
C1CCN(C1)P(=O)(N2CCCC2)N3CCCC3  ,47.2
C(Cl)(Cl)(Cl)Cl,0
C(C(CO)O)O ,19
C1=CC=C(C=C1)CCO,23
C1=CC=C(C=C1)N,35
CCO,19.2
C(=O)O,19
CC(=O)O,20
CO,19
CCCO  ,19.8
C(Cl)(Cl)Cl,4
CC(C)(C)O,38
CCCCCO,25
CCN,55
C(Cl)Cl,1
C(=S)=S,2
CSC,40
CC(=O)Cl,0.7
CCCCN,42
