SMILES,TARGET_ESPmin,TARGET_ESPmax
C1CCOC1,-1.873205565,0.821103995
C1CCOCC1,-1.82297332,0.733837035
C1COCO1,-1.590533541,1.200077163
CC(=O)OC,-1.817177292,1.131477223
CC1=CC(=CC=C1)C,-0.930684303,0.846328963
CC1CCCO1,-1.907464717,0.824532631
CC1COC(=O)O1,-1.945016449,1.772605019
CCC#N,-2.001697795,1.475647011
CCCCCC,-0.152612416,0.536826499
CCOC(=O)C,-1.854620178,1.083068143
CCOC(=O)OCC,-1.684957099,0.954956872
CCOCC,-1.698100206,0.726462746
CCOP(=O)(OCC)OCC,-2.16485735,1.042169409
CN1CCCC1=O,-2.307662777,1.082279012
COC(=O)OC,-1.594941788,1.159831502
COCCOC,-1.541416964,0.823933981
COP(=O)(OC)OC,-2.323418178,1.209900478
CS(=O)C,-2.19285788,1.539621012
C(=O)N,-2.117346245,2.833795196
C(=O)O,-1.747080726,3.734220422
C(C#N)Cl,-1.671296977,2.057045783
C(C(CO)O)O,-2.093373002,3.025635566
C(CCl)Cl,-0.971474191,1.53627401
C(CCl)O,-1.757910863,2.817468356
C(CCl)OCCCl,-1.807245131,1.33705935
C(CN)N,-2.10850254,1.633745245
C(CO)O,-1.833939514,2.831890398
C(Cl)(Cl)Cl,-0.337666263,1.943111651
C(Cl)Cl,-0.579167438,1.668956796
C1(=O)OC(C(O1)(Cl)Cl)(Cl)Cl,-1.198390056,1.797476238
C1(C(OC(=O)O1)Cl)Cl,-1.457469795,2.277920717
C1=CC(=CC(=C1)Cl)Cl,-0.458675358,1.39360464
C1=CC=C(C(=C1)Cl)Cl,-0.774300387,1.328025166
C1=CC=C(C(=C1)N)Cl,-0.807307815,2.470359738
C1=CC=C(C=C1)Br,-0.645236717,1.213492383
C1=CC=C(C=C1)C#N,-1.966050861,1.431183583
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,-1.855164406,1.16290639
C1=CC=C(C=C1)C=O,-1.857531798,1.344841811
C1=CC=C(C=C1)CC#N,-1.916417268,1.540709468
C1=CC=C(C=C1)CCO,-1.864008111,2.039957024
C1=CC=C(C=C1)CO,-1.458041235,2.716650119
C1=CC=C(C=C1)COCC2=CC=CC=C2,-1.547104147,0.963011446
C1=CC=C(C=C1)Cl,-0.624556053,1.178988328
C1=CC=C(C=C1)I,-0.542568105,1.312895627
C1=CC=C(C=C1)N,-1.471456455,2.148476087
C1=CC=C(C=C1)O,-1.341059426,3.101011144
C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)Cl,-2.191851059,1.301385205
C1=CC=C(C=C1)P(=O)(Cl)Cl,-1.86145024,1.518559388
C1=CC=NC=C1,-2.007521035,1.284350869
C1=COC=C1,-1.113408854,1.332079664
C1CC(=O)OC1,-2.096148565,1.348107179
C1CCC(=O)C1,-1.922050028,1.121789965
