SMILES,TARGET_Oxidation Potential (vs Li/Li+)
C[C@@H]1[C@@H]2CC[C@H]3[C@@H]2[C@@H]13,0.786127941
CC[C@H]1C[C@H]2C[C@@H]12,0.839696373
CC1(C)C[C@H]2CCC[C@H]21,1.134406246
CC[C@]12C[C@H]1CC[C@H]2C,0.68277059
C1=C[C@@]23CC[C@@H]2C[C@@H]1C3,0.399146726
CC1=C[C@H]2CCC=C2C1,0.603156356
C#C[C@H]1[C@@H]2[C@@H]3C[C@H]1[C@]23C,0.514667491
CC#C[C@@]1(C)C[C@@H]1CC,0.295760537
C#CCC[C@H](C)C#CC,1.547414895
CC#CC(C#CC)CC,1.269476987
CC1=C[C@H]2[C@H]3C[C@@H]1[C@]32C,0.042941774
C[C@@H]1[C@@H]2C[C@H]3[C@@H]2[C@@H]13,0.743995002
CC[C@H]1[C@H]2C[C@H]3C[C@@H]1[C@H]32,0.882390937
CC[C@H]1[C@@H]2CCC[C@H]1C2,1.163070757
CC[C@@H]1CC=C(C)CC1,0.654329844
CC[C@]12[C@@H]3C=C[C@H]1C[C@@H]32,0.294020422
C[C@H]1C[C@H]1CC(C)(C)C,0.959097882
CC1=C[C@H]2CC[C@@H]1C2,0.600896176
C[C@@H]1C=C2C[C@H](C)[C@@H]2C1,0.44241854
C#CCCC[C@H](C)CC,2.049225313
CC[C@@H](C)C[C@@H](C)CC,1.957257348
C[C@H]1C[C@@H](CC2CC2)C1,1.392826673
C[C@H]1C[C@@]2(C)C[C@@]12C,0.095967253
C[C@H]1C[C@H]2C[C@@H]3[C@H](C2)[C@@H]31,0.882714153
CC[C@H]1[C@@H]2C=C(C)[C@H]1C2,0.254725919
C#C[C@@H]1[C@@H]2C=C[C@@]1(C)C2,0.810585444
C[C@@]12C=CC[C@@H]1CC2,0.898164432
C[C@H]1C[C@@]12C[C@@]1(C)C[C@H]12,0.155732017
CC1=C2CC[C@@H]2C[C@@H]1C,0.175510063
C[C@]12[C@@H]3[C@H]4[C@@H]5[C@H]4[C@H]1[C@H]2[C@@H]53,0.419812578
CC[C@H]1CC=C(C)C1,0.683933386
C#C[C@@H](CC)CC#CC,1.625620655
C[C@]12CC[C@@H]3[C@H]1[C@]3(C)C2,0.419970291
C[C@@]12CCCC[C@@H]1C2,0.716403543
CC[C@@H](C(C)C)C1CC1,1.353186396
CCCC1CC2(CC2)C1,1.085512476
C#C[C@@H]1C=C2CC[C@@H]2C1,0.77454503
